Id,Code_18,EU_ID,Description,East_1K,North_1K
1,231,EU_1595287,Pastures,492000,262000
2,112,EU_1572649,Discontinuous urban fabric,492000,265000
3,112,EU_1572649,Discontinuous urban fabric,492000,265000
4,231,EU_1595287,Pastures,493000,261000
5,231,EU_1595287,Pastures,493000,261000
6,231,EU_1595287,Pastures,493000,262000
7,231,EU_1595287,Pastures,493000,262000
8,231,EU_1595287,Pastures,493000,263000
9,231,EU_1595287,Pastures,493000,263000
10,112,EU_1572649,Discontinuous urban fabric,493000,265000
11,112,EU_1572649,Discontinuous urban fabric,493000,265000
12,142,EU_1583423,Sport and leisure facilities,494000,259000
13,142,EU_1583423,Sport and leisure facilities,494000,259000
14,142,EU_1583423,Sport and leisure facilities,494000,259000
15,142,EU_1583423,Sport and leisure facilities,494000,260000
16,142,EU_1583423,Sport and leisure facilities,494000,260000
17,231,EU_1595287,Pastures,494000,261000
18,231,EU_1595287,Pastures,494000,262000
19,231,EU_1595287,Pastures,494000,262000
20,231,EU_1595287,Pastures,494000,263000
21,231,EU_1595287,Pastures,494000,263000
22,112,EU_1572720,Discontinuous urban fabric,494000,265000
23,112,EU_1572720,Discontinuous urban fabric,494000,265000
24,112,EU_1572720,Discontinuous urban fabric,494000,265000
25,112,EU_1572720,Discontinuous urban fabric,494000,266000
26,112,EU_1572720,Discontinuous urban fabric,494000,266000
27,142,EU_1583423,Sport and leisure facilities,495000,259000
28,142,EU_1583423,Sport and leisure facilities,495000,259000
29,142,EU_1583423,Sport and leisure facilities,495000,260000
30,142,EU_1583423,Sport and leisure facilities,495000,260000
31,142,EU_1583423,Sport and leisure facilities,495000,261000
32,142,EU_1583423,Sport and leisure facilities,495000,261000
33,112,EU_1572720,Discontinuous urban fabric,495000,263000
34,121,EU_1577273,Industrial or commercial units,495000,263000
35,112,EU_1572720,Discontinuous urban fabric,495000,264000
36,112,EU_1572720,Discontinuous urban fabric,495000,264000
37,112,EU_1572720,Discontinuous urban fabric,495000,265000
38,112,EU_1572720,Discontinuous urban fabric,495000,265000
39,112,EU_1572720,Discontinuous urban fabric,495000,266000
40,142,EU_1583423,Sport and leisure facilities,496000,260000
41,142,EU_1583423,Sport and leisure facilities,496000,260000
42,142,EU_1583423,Sport and leisure facilities,496000,261000
43,142,EU_1583423,Sport and leisure facilities,496000,261000
44,121,EU_1577258,Industrial or commercial units,496000,262000
45,231,EU_1595335,Pastures,496000,262000
46,121,EU_1577258,Industrial or commercial units,496000,262000
47,231,EU_1595335,Pastures,496000,262000
48,121,EU_1577273,Industrial or commercial units,496000,263000
49,231,EU_1595335,Pastures,496000,263000
50,121,EU_1577273,Industrial or commercial units,496000,263000
51,231,EU_1595335,Pastures,496000,263000
52,112,EU_1572720,Discontinuous urban fabric,496000,264000
53,121,EU_1577273,Industrial or commercial units,496000,264000
54,231,EU_1595335,Pastures,496000,264000
55,112,EU_1572720,Discontinuous urban fabric,496000,265000
56,112,EU_1572720,Discontinuous urban fabric,496000,265000
57,112,EU_1572720,Discontinuous urban fabric,496000,266000
58,112,EU_1572720,Discontinuous urban fabric,496000,266000
59,231,EU_1595244,Pastures,497000,261000
60,121,EU_1577258,Industrial or commercial units,497000,262000
61,231,EU_1595335,Pastures,497000,262000
62,121,EU_1577258,Industrial or commercial units,497000,262000
63,231,EU_1595335,Pastures,497000,262000
64,231,EU_1595335,Pastures,497000,263000
65,231,EU_1595335,Pastures,497000,263000
66,231,EU_1595335,Pastures,497000,264000
67,231,EU_1595244,Pastures,498000,259000
68,231,EU_1595244,Pastures,498000,259000
69,231,EU_1595244,Pastures,498000,260000
70,231,EU_1595244,Pastures,498000,260000
71,231,EU_1595244,Pastures,498000,261000
72,231,EU_1595244,Pastures,498000,262000
73,231,EU_1595335,Pastures,498000,263000
74,231,EU_1595335,Pastures,498000,264000
75,231,EU_1595244,Pastures,499000,259000
76,231,EU_1595244,Pastures,499000,259000
77,231,EU_1595244,Pastures,499000,259000
78,231,EU_1595244,Pastures,499000,260000
79,231,EU_1595244,Pastures,499000,260000
80,231,EU_1595356,Pastures,499000,265000
81,231,EU_1595356,Pastures,499000,265000
82,231,EU_1595356,Pastures,499000,266000
83,231,EU_1595422,Pastures,499000,266000
84,231,EU_1595356,Pastures,499000,266000
85,231,EU_1595422,Pastures,499000,266000
86,231,EU_1595422,Pastures,499000,267000
87,231,EU_1595244,Pastures,500000,259000
88,231,EU_1595244,Pastures,500000,259000
89,231,EU_1595244,Pastures,500000,260000
90,231,EU_1595244,Pastures,500000,260000
91,231,EU_1595356,Pastures,500000,265000
92,231,EU_1595356,Pastures,500000,265000
93,231,EU_1595356,Pastures,500000,266000
94,231,EU_1595392,Pastures,500000,266000
95,231,EU_1595356,Pastures,500000,266000
96,231,EU_1595392,Pastures,500000,266000
97,121,EU_1577317,Industrial or commercial units,500000,267000
98,231,EU_1595392,Pastures,500000,267000
99,231,EU_1595422,Pastures,500000,267000
100,121,EU_1577317,Industrial or commercial units,500000,267000
101,231,EU_1595392,Pastures,500000,267000
102,231,EU_1595422,Pastures,500000,267000
103,121,EU_1577317,Industrial or commercial units,500000,268000
104,231,EU_1595437,Pastures,500000,268000
